,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
2190,62084298,300759.XSHE,94.8989,,11.2994,20.278,55.4483,79438.75,956.4425,28323.334,341.01300000000003,2021-01-01,174.7912
2191,62085636,300760.XSHE,81.2671,,23.4878,25.5869,213.9395,121569.125,5178.8447,49913.4258,2126.312,2021-01-01,110.6438
2192,62082584,300761.XSHE,15.3696,,1.9149,1.4697,76.0986,40388.0,125.2836,11946.125,37.0569,2021-01-01,6.3782
2193,62085873,300762.XSHE,74.1417,,7.2578,15.7645,49.35,21419.9492,92.7484,10802.1973,46.7735,2021-01-01,80.5585
2194,62085167,300763.XSHE,82.2086,,13.0083,12.6544,-93.661,14566.0791,217.0346,5505.9736,82.039,2021-01-01,171.4553
2195,62082832,300765.XSHE,24.7845,,2.9819999999999998,5.9118,40.1134,42000.0,78.582,10500.0,19.6455,2021-01-01,28.7638
2196,62083410,300766.XSHE,83.3025,,3.7605,12.0564,16.3786,40010.0,65.9765,30950.3125,51.0371,2021-01-01,60.5379
2197,62084889,300767.XSHE,63.9452,,9.6446,19.1365,211.6796,14400.0,105.12,8258.6807,60.2884,2021-01-01,115.8619
2198,62082547,300768.XSHE,58.2242,,8.0705,17.8532,198.5966,40001.0,145.5636,13859.7012,50.4355,2021-01-01,57.6561
2199,62084755,300769.XSHE,599.9055,,7.0304,16.8619,-77.5007,8962.4697,149.8525,4277.4717,71.5193,2021-01-01,149.6314
2200,62085371,300770.XSHE,28.3104,,6.4338,13.8258,-30.4243,23105.8145,162.4339,14153.2002,99.49700000000001,2021-01-01,41.0515
2201,62083133,300771.XSHE,17.1992,,2.6058,4.3701,9.2075,16000.0,45.376000000000005,7441.6001,21.1044,2021-01-01,15.8756
2202,62083594,300772.XSHE,34.2388,,3.1617,0.5257,11.5729,29396.0,48.6504,15452.8125,25.5744,2021-01-01,45.6487
2203,62085993,300773.XSHE,25.8624,,4.8939,4.4517,-27.8206,80002.0,239.36599999999999,38300.7617,114.5959,2021-01-01,29.6854
2204,62083263,300775.XSHE,104.2723,,10.5759,32.5253,59.3795,49550.0,195.3261,26400.0,104.0688,2021-01-01,101.6365
2205,62084229,300776.XSHE,47.1716,,9.4517,17.7844,64.2938,10580.0244,158.912,4545.3467,68.2711,2021-01-01,52.0752
2206,62083884,300777.XSHE,104.4777,,18.6788,60.3478,4715.9922,40001.0,202.4451,26225.873,132.7291,2021-01-01,148.1993
2207,62082841,300778.XSHE,26.6872,,2.7705,6.6909,-41.2305,10000.0,26.34,4609.8101,12.1422,2021-01-01,24.4934
2208,62084997,300779.XSHE,68.5843,,2.6686,5.2237,-37.2368,10000.0,17.66,6914.8188,12.2116,2021-01-01,41.2046
2209,62086457,300780.XSHE,33.4738,,2.3871,5.3228,41.0659,14667.0,24.3179,6385.1001,10.5865,2021-01-01,36.0611
2210,62085551,300781.XSHE,71.8201,,4.0995,8.5383,10.5529,8454.1416,25.5569,2754.6599,8.3273,2021-01-01,48.5563
2211,62083834,300782.XSHE,115.1295,,44.4246,41.0793,1577.5627,18000.0,1026.972,10578.6172,603.5524,2021-01-01,206.5636
2212,62085958,300783.XSHE,79.4671,,8.0011,1.5414,-258.4234,40100.0,164.7709,22697.5996,93.2644,2021-01-01,69.0149
2213,62082879,300785.XSHE,56.6663,,5.1255,10.0597,22.9938,8878.0732,80.6839,2289.3003,20.8052,2021-01-01,67.7849
2214,62083271,300786.XSHE,25.4558,,2.4265,5.4593,-19.4735,8544.0,19.6597,5159.3198,11.8716,2021-01-01,27.3698
2215,62083105,300787.XSHE,39.1605,,4.4422,3.7214,106.7772,12732.0,53.0033,4983.0,20.7442,2021-01-01,44.6368
2216,62084880,300788.XSHE,31.4429,,4.467,4.4687,64.0376,19015.1523,80.6433,5039.0151,21.3705,2021-01-01,32.0954
2217,62084000,300789.XSHE,32.0623,,3.0429,8.1035,-6.3689,4598.2759,21.851,1695.7759,8.0583,2021-01-01,26.1894
2218,62084268,300790.XSHE,34.782,,3.1166,2.8930000000000002,-8.8169,21011.9141,38.3047,10806.3193,19.6999,2021-01-01,37.0377
2219,62082680,300791.XSHE,52.7405,,5.2266,5.9155,-17.3087,12000.0,110.352,3360.0,30.8986,2021-01-01,77.4263
2220,62085575,300792.XSHE,55.5503,,11.6508,10.7218,641.4548,14425.0195,159.2666,7265.6885,80.2205,2021-01-01,72.7062
2221,62085455,300793.XSHE,62.6737,,4.1491,2.1714,49.0371,26668.8008,49.8973,10188.7998,19.0632,2021-01-01,41.3213
2222,62085314,300795.XSHE,-172.372,,4.246,8.3388,8.1259,10016.4004,19.1113,3691.5994,7.0436,2021-01-01,28.9055
2223,62084397,300796.XSHE,86.1268,,2.3247,6.2915,10.6066,12115.0,23.3335,6185.2778,11.9128,2021-01-01,36.6574
2224,62085047,300797.XSHE,67.1564,,5.2977,7.7205,14.8477,24820.0,39.8113,7636.6982,12.2493,2021-01-01,57.5842
2225,62085564,300798.XSHE,357.5887,,3.8005,6.2817,85.1684,41774.8945,45.4093,22904.0586,24.8967,2021-01-01,47.13399999999999
2226,62084497,300799.XSHE,63.2606,,9.2518,29.8519,25.4773,10200.0,58.9866,3246.1499,18.7725,2021-01-01,66.495
2227,62083340,300800.XSHE,18.1635,,2.4417,5.9602,43.162,16000.0,44.096000000000004,9628.0,26.5348,2021-01-01,19.1723
2228,62083364,300801.XSHE,21.4494,,2.4381,3.0118,9.4779,21600.0,45.0576,8202.2764,17.1099,2021-01-01,26.2551
2229,62084528,300802.XSHE,57.2593,,5.0522,10.9448,11.1353,16245.248,50.8639,8044.168000000001,25.1863,2021-01-01,58.8371
2230,62086205,300803.XSHE,169.7657,,11.8475,20.2195,487.3198,40500.0,132.03,22560.2285,73.5463,2021-01-01,109.6735
2231,62082460,300805.XSHE,47.3618,,4.8638,2.3662,15.4773,42323.0,79.7789,12803.0,24.1337,2021-01-01,36.1831
2232,62083443,300806.XSHE,41.6424,,5.1739999999999995,4.1479,34.5698,11875.4375,61.7523,6470.7017,33.6476,2021-01-01,55.5352
2233,62084140,300807.XSHE,78.4855,,3.9787,7.3463,284.0671,6785.1001,24.6842,3009.752,10.9495,2021-01-01,33.1127
2234,62083700,300808.XSHE,56.8424,,2.4649,3.6216,266.3695,16000.0,26.304000000000002,4960.0,8.1542,2021-01-01,33.2389
2235,62084242,300809.XSHE,86.0515,,2.03,13.6896,184.375,15692.0,27.665,4692.0,8.272,2021-01-01,19.3429
2236,62085720,300810.XSHE,174.8154,,3.0282,19.6792,-60.6214,7870.0,29.5125,5207.2764,19.5273,2021-01-01,36.0725
2237,62084992,300811.XSHE,43.1539,,5.0669,9.4483,43.3569,5760.0,42.2611,1440.0,10.5653,2021-01-01,49.957
2238,62085783,300812.XSHE,40.007,,3.9128,6.9672,8.9171,7751.1685,29.6482,1938.0,7.4128,2021-01-01,32.0116
2239,62083262,300813.XSHE,61.1142,,5.9508,13.3118,39.1451,5197.0,25.5277,1300.0,6.3856,2021-01-01,74.1945
2240,62083149,300815.XSHE,21.3799,,5.2363,3.1255,9.7642,13840.0,128.5736,3459.96,32.143,2021-01-01,41.1053
2241,62084447,300816.XSHE,57.3194,,8.7711,10.7043,88.1856,8000.0,64.256,2000.0,16.064,2021-01-01,62.1563
2242,62082860,300817.XSHE,39.4902,,3.2094,4.8064,99.2857,10106.4004,27.5197,2527.2,6.8816,2021-01-01,40.7933
2243,62082635,300818.XSHE,55.7699,,2.5553,6.6146,7.525,7000.0,22.05,1750.0,5.5125,2021-01-01,31.7682
2244,62084827,300819.XSHE,124.2259,,4.5091,9.3507,-129.2736,9947.0,36.6746,2487.0,9.1696,2021-01-01,61.4745
2245,62086138,300820.XSHE,56.4289,,4.9932,13.1096,-93.3234,9501.0,51.1154,2376.0,12.7829,2021-01-01,46.0609
2246,62085611,300821.XSHE,66.882,,3.5418,5.832999999999999,15.5549,120000.0,138.36,30000.0,34.59,2021-01-01,25.0007
2247,62083325,300822.XSHE,29.0666,,4.3007,5.9169,50.7464,10667.0,47.4788,2667.0,11.8708,2021-01-01,32.8753
2248,62084256,300823.XSHE,33.7913,,3.0075,5.9938,11.0421,9355.9092,27.0012,2340.0,6.7532,2021-01-01,32.0835
2249,62085615,300824.XSHE,66.8198,,9.6612,9.8268,100.8086,21740.0,60.7198,5435.0,15.18,2021-01-01,92.3106
2250,62082804,300825.XSHE,80.7119,,5.8815,12.2399,98.6313,30565.875,84.3618,7641.5,21.0905,2021-01-01,64.7382
2251,62083933,300826.XSHE,30.8868,,2.4931,5.0091,35.0644,8000.0,24.448,2000.0,6.112,2021-01-01,28.3086
2252,62082354,300827.XSHE,67.0171,,7.1713,6.1922,95.3313,7333.3599,59.0115,1833.36,14.753,2021-01-01,70.3835
2253,62084806,300828.XSHE,51.3899,,4.5397,9.0785,134.3175,11028.0,32.3892,2756.95,8.0972,2021-01-01,51.7676
2254,62084892,300829.XSHE,84.2601,,8.1346,10.907,618.8966,11290.9092,104.5199,2830.0,26.1973,2021-01-01,90.7205
2255,62084204,300830.XSHE,55.7818,,4.906000000000001,10.4461,204.3588,43012.5,52.2172,8602.5,10.4434,2021-01-01,58.1843
2256,62083523,300831.XSHE,100.9537,,8.2605,33.1026,21.941,32000.0,62.592,8000.0,15.648,2021-01-01,100.3483
2257,62082734,300832.XSHE,59.7994,,12.1134,26.3708,-63.5523,41235.0,544.5494,4120.0,54.4087,2021-01-01,70.4819
2258,62084087,300833.XSHE,34.2001,,2.2257,7.6258,3.5534,8432.7002,38.5965,2108.2,9.6492,2021-01-01,19.6671
2259,62086378,300835.XSHE,58.0992,,4.1448,6.6672,30.6552,7067.0,35.0523,1767.0,8.7643,2021-01-01,41.4198
2260,62084556,300836.XSHE,41.1235,,3.8466,6.0817,12.5967,4925.5718,23.6427,1231.3929,5.9107,2021-01-01,36.7848
2261,62082701,300837.XSHE,40.5601,,5.2048,11.1261,12.9496,10000.0,47.51,2500.0,11.8775,2021-01-01,49.39
2262,62086022,300838.XSHE,40.7267,,3.4301,5.9661,10.1948,13634.0,25.9046,3408.5,6.4761,2021-01-01,38.2205
2263,62084153,300839.XSHE,38.0012,,3.0824,3.1368,355.6562,10400.0,25.3344,2600.0,6.3336,2021-01-01,33.4529
2264,62086385,300840.XSHE,56.2215,,4.2997,6.355,71.2543,24000.0,40.608000000000004,6000.0,10.152000000000001,2021-01-01,59.1313
2265,62085752,300841.XSHE,63.5786,,14.7258,25.8838,31.9581,6000.0,280.944,1500.0,70.236,2021-01-01,150.4896
2266,62084371,300842.XSHE,65.2444,,8.3112,5.2204,32.4413,10000.0,69.19,2500.0,17.2975,2021-01-01,97.8584
2267,62082356,300843.XSHE,47.5231,,5.3403,5.3802,19.7559,14890.0,43.583,3723.0,10.8972,2021-01-01,55.0173
2268,62084084,300845.XSHE,34.6137,,4.02,9.7282,7.6929,9235.5996,29.2214,2309.0,7.3057,2021-01-01,36.3361
2269,62082331,300846.XSHE,170.391,,12.2012,9.7483,-84.584,41131.6289,91.2711,5000.0,11.095,2021-01-01,137.2148
2270,62084307,300847.XSHE,57.2652,,4.6049,5.8169,13.2202,19734.0,48.3483,4934.0,12.0883,2021-01-01,62.6243
2271,62083891,300848.XSHE,35.3893,,4.3154,4.5117,-380.87199999999996,6667.0,31.9283,1667.0,7.9833,2021-01-01,38.2999
2272,62082723,300849.XSHE,49.2403,,3.505,8.4259,-344.4832,10000.0,24.38,2500.0,6.095,2021-01-01,37.1413
